iso3,country_name,transition,year,n_natural_classes,natural_loss_sum_km2,weight_sum,bfnee_sum_km2,continent,region_un,subregion,bfnee_per_loss,log_bfnee,log_natural_loss,log_weight_sum
NAM,Namibia,2000_2005,2005,65,13864.2644879994,0.00127797138655487,17.7181333248684,Africa,Africa,Southern Africa,0.0012779713875341041,2.9294927505256183,9.53714203381452,0.0012771554761885314
NAM,Namibia,2005_2010,2010,65,18818.3987403037,0.00138173325163388,26.0020072794405,Africa,Africa,Southern Africa,0.0013817332514987866,3.295911206923956,9.842643464717426,0.0013807795366632541
NAM,Namibia,2010_2015,2015,65,10617.4333730702,1.7620578922186e-4,1.8708532263664,Africa,Africa,Southern Africa,1.762057891610214e-4,1.0546092770060571,9.270346767254221,1.7619026680518204e-4
NER,Niger,1995_2000,2000,65,16498.7589095582,1.7417255861619e-4,2.8736310539431,Africa,Africa,Western Africa,1.741725586570226e-4,1.3541923239867208,9.711101048239994,1.7415739233711007e-4
NER,Niger,2000_2005,2005,65,16245.0114834128,1.493327304725e-4,2.4259119177191,Africa,Africa,Western Africa,1.4933273024744315e-4,1.2313676896236985,9.6956027104562,1.493215814502336e-4
NER,Niger,2005_2010,2010,65,20556.9831469035,2.158966344732e-4,4.43818346706566,Africa,Africa,Western Africa,2.1589663402210766e-4,1.6934450836083714,9.931004618789649,2.158733321486802e-4
NER,Niger,2010_2015,2015,65,16096.520146057,8.36794712614416e-5,1.34694829372644,Africa,Africa,Western Africa,8.367947118411107e-5,0.8531158858321871,9.686420510913777,8.367597032978901e-5
NGA,Nigeria,1995_2000,2000,65,75456.6769840305,0.00540628452969032,407.940265632936,Africa,Africa,Western Africa,0.00540628453223923,6.013569095579269,11.231327208311212,0.005391723032304407
NGA,Nigeria,2000_2005,2005,65,43955.1687036147,0.00324149226321103,142.48033937914,Africa,Africa,Western Africa,0.003241492265445974,4.966198018002377,10.690948250570521,0.0032362499527158893
NGA,Nigeria,2005_2010,2010,65,32907.3157230068,0.00381929575828572,125.682771573247,Africa,Africa,Western Africa,0.0038192957648434753,4.841686099969527,10.401480662353858,0.003812020765922472
NGA,Nigeria,2010_2015,2015,65,76157.0758215956,0.00117232352077973,89.2807312397963,Africa,Africa,Western Africa,0.001172323520521507,4.50292405160413,11.240566404198546,0.0011716368861472697
RWA,Rwanda,1995_2000,2000,65,6235.82545495234,1.6215048140038e-4,1.01114209645347,Africa,Africa,Eastern Africa,1.6215048091996318e-4,0.698702767893184,8.73822659071723,1.621373364320269e-4
RWA,Rwanda,2000_2005,2005,65,1089.18865186767,8.0454674271516e-4,0.876303177946445,Africa,Africa,Eastern Africa,8.045467389361955e-4,0.6293034462402084,6.994106035355375,8.042232684730244e-4
RWA,Rwanda,2005_2010,2010,65,839.861101760982,1.2729809136534e-4,0.106912714494267,Africa,Africa,Eastern Africa,1.272980904462623e-4,0.1015748019224456,6.73442648790352,1.2728998965085526e-4
RWA,Rwanda,2010_2015,2015,65,730.543653305846,9.69389420162985e-5,0.0708181290147653,Africa,Africa,Eastern Africa,9.693894224431365e-5,0.06842296286699444,6.595156895105922,9.693424374068701e-5
SEN,Senegal,1995_2000,2000,65,10523.6565759223,0.00417001770341753,43.883834278636,Africa,Africa,Western Africa,0.004170017708392389,3.8040776915811167,9.261476028652181,0.004161347275129534
SEN,Senegal,2000_2005,2005,65,6063.1720557709,0.00254715359763744,15.4438305147049,Africa,Africa,Western Africa,0.0025471535975967446,2.7999503621657382,8.710153300232836,0.0025439151000472724
SEN,Senegal,2005_2010,2010,65,8240.43964374766,0.00284410258707663,23.4366556808969,Africa,Africa,Western Africa,0.0028441025836138728,3.1960842870063884,9.016930321689841,0.0028400657795655143
SEN,Senegal,2010_2015,2015,65,2969.82153234227,0.00159675399978535,4.7420743997615,Africa,Africa,Western Africa,0.0015967539961977012,1.7478205387311783,7.996593803763445,0.001595480543534783
SLE,Sierra Leone,1995_2000,2000,65,4516.20014696102,0.00955258973442618,43.1414072115886,Africa,Africa,Western Africa,0.009552589745301418,3.7873982809635627,8.415647644383169,0.009507252247374275
SLE,Sierra Leone,2000_2005,2005,65,12858.2385456087,0.00676630383101804,87.0027486087238,Africa,Africa,Western Africa,0.006766303821485462,4.477368048180472,9.461817784966147,0.0067435151363181
SLE,Sierra Leone,2005_2010,2010,65,6637.47080370449,0.0048935261662741,32.4806370825759,Africa,Africa,Western Africa,0.004893526170306901,3.510967274191004,8.800636915300299,0.004881591785405009
SLE,Sierra Leone,2010_2015,2015,65,2419.61773075057,0.00239655041884094,5.79873588606413,Africa,Africa,Western Africa,0.00239655041884048,1.9167366957924639,7.791778047218009,0.0023936832718138385
SOM,Somalia,1995_2000,2000,65,10435.4836542525,0.00583610595892753,60.9025883246754,Africa,Africa,Eastern Africa,0.005836105957566936,4.125561993431456,9.253062989975039,0.005819141863384581
SOM,Somalia,2000_2005,2005,65,3874.55287884308,0.0171615766234774,66.4934361126967,Africa,Africa,Eastern Africa,0.017161576623662255,4.212030350375235,8.262443610020968,0.017015980182975732
SOM,Somalia,2005_2010,2010,65,3195.6875553967,0.0114952033122308,36.7350781037527,Africa,Africa,Eastern Africa,0.01149520329098398,3.6305901155307065,8.069870413722967,0.01142963546140947
SOM,Somalia,2010_2015,2015,65,1852.73360251444,0.00837447901005169,15.5156786428768,Africa,Africa,Eastern Africa,0.00837447899785467,2.8043101505129684,7.524957047837532,0.008339607611971358
SSD,South Sudan,1995_2000,2000,65,29021.2564310723,0,0,Africa,Africa,Eastern Africa,0,0,10.275818277759791,0
SSD,South Sudan,2000_2005,2005,65,13614.0444185263,0,0,Africa,Africa,Eastern Africa,0,0,9.518930667572336,0
SSD,South Sudan,2005_2010,2010,65,13798.1646435893,0,0,Africa,Africa,Eastern Africa,0,0,9.532363336239856,0
